GRID_SIZE	N_THREADS_PER_PROC	N_PROCS	TIME_P1	TIME_P2	TIME_P3	TIME_P4	ENERGY_P1	ENERGY_P2	ENERGY_P3	ENERGY_P4	
128	8	4	0.071843	0.080993	0.081937	0.083208	9.321594	10.370422	10.522400	10.614929	
128	8	4	0.078244	0.079635	0.081694	0.082494	10.460205	10.567749	10.756836	10.845886	
128	8	4	0.076260	0.083474	0.089234	0.089369	10.083862	10.953857	11.450989	11.490601	
128	8	4	0.080767	0.080897	0.081831	0.087605	10.692383	10.751892	10.751892	11.315247	
128	8	4	0.073892	0.076266	0.077118	0.088235	9.757324	10.119690	10.201843	11.233887	
128	8	4	0.080408	0.081829	0.083613	0.088752	10.617615	10.781799	10.908325	11.393433	
128	8	4	0.076755	0.078332	0.080915	0.086886	10.226013	10.407166	10.648193	11.314575	
128	8	4	0.073688	0.075467	0.075157	0.078197	9.937805	10.088684	9.996094	10.390442	
128	8	4	0.076609	0.083968	0.084497	0.088332	10.211060	10.958984	11.057983	11.409180	
128	8	4	0.083850	0.084781	0.084348	0.087028	11.024902	11.191406	11.119446	11.418823	
128	8	4	0.076851	0.076521	0.079753	0.078659	10.216248	10.325317	10.687805	10.537781	
128	8	4	0.079992	0.080912	0.083500	0.086888	10.726196	10.814270	11.090881	11.372864	
128	8	4	0.073444	0.081003	0.083305	0.085025	9.789490	10.691772	10.921936	11.104065	
128	8	4	0.075106	0.078373	0.081567	0.085100	9.999573	10.352600	10.725342	11.045959	
128	8	4	0.081427	0.082166	0.083913	0.088925	10.888306	10.923279	11.120483	11.598938	
128	8	4	0.077516	0.078163	0.080412	0.086955	10.265198	10.439209	10.649902	11.232849	
128	8	4	0.080581	0.083695	0.083770	0.088740	10.649231	11.020081	11.020081	11.476929	
128	8	4	0.073586	0.076192	0.078261	0.078832	9.817505	10.042297	10.349792	10.349792	
128	8	4	0.072281	0.074045	0.077081	0.076680	9.612976	9.849854	10.202209	10.202209	
128	8	4	0.068170	0.077760	0.085973	0.088362	9.234863	10.364136	11.198425	11.475342	
128	8	4	0.071060	0.076193	0.083357	0.084851	9.537292	10.190063	10.878052	11.034851	
128	8	4	0.062354	0.072680	0.073786	0.073924	8.704468	9.686829	10.130371	10.130371	
128	8	4	0.077287	0.085284	0.087789	0.088360	10.327209	11.187622	11.378540	11.469543	
128	8	4	0.080802	0.080735	0.080943	0.083575	10.878784	10.898315	10.968628	11.165344	
128	8	4	0.075942	0.080321	0.081418	0.081220	10.074585	10.649963	10.763977	10.691162	
128	8	4	0.072562	0.080869	0.081121	0.083076	9.678894	10.644043	10.629639	10.839844	
128	8	4	0.078287	0.087754	0.089442	0.089298	10.411926	11.453125	11.592224	11.544312	
128	8	4	0.079459	0.082180	0.087882	0.088538	10.622864	10.834839	11.388672	11.484985	
128	8	4	0.064914	0.070164	0.075537	0.074845	8.733154	9.593811	9.956604	10.022095	
128	8	4	0.082757	0.082814	0.084714	0.087904	10.909607	10.909607	11.109070	11.378296	
