GRID_SIZE	N_THREADS_PER_PROC	N_PROCS	TIME_P1	TIME_P2	TIME_P3	TIME_P4	ENERGY_P1	ENERGY_P2	ENERGY_P3	ENERGY_P4	
32	8	4	0.004651	0.004988	0.005015	0.007313	0.962341	0.992676	1.129761	1.394043	
32	8	4	0.005604	0.005411	0.005584	0.005235	1.276062	1.306213	1.368835	1.276917	
32	8	4	0.006011	0.005425	0.005692	0.005553	1.331360	1.302063	1.302063	1.348633	
32	8	4	0.005329	0.005555	0.005015	0.005174	1.271606	1.407410	1.243774	1.243774	
32	8	4	0.003740	0.003820	0.005186	0.005467	1.061279	1.522278	1.773376	1.834839	
32	8	4	0.005561	0.005253	0.005690	0.005398	1.353943	1.265137	1.317078	1.333679	
32	8	4	0.004863	0.003825	0.004791	0.004088	0.886780	0.970276	1.089600	1.035645	
32	8	4	0.003969	0.004914	0.004004	0.004283	1.155579	1.264221	1.215698	1.215698	
32	8	4	0.005329	0.005360	0.005688	0.004923	1.315002	1.285645	1.315002	1.248840	
32	8	4	0.005498	0.005522	0.005592	0.005701	1.315063	1.315063	1.315063	1.315063	
32	8	4	0.003876	0.004038	0.005725	0.005672	1.009949	1.183167	1.351807	1.426514	
32	8	4	0.005573	0.005908	0.005945	0.005949	1.402039	1.402039	1.402039	1.402039	
32	8	4	0.003811	0.005523	0.005339	0.003861	1.157227	1.294006	1.348633	1.177979	
32	8	4	0.005003	0.005715	0.005202	0.005443	1.236755	1.403748	1.304382	1.403748	
32	8	4	0.005347	0.005694	0.005227	0.005582	1.258545	1.372070	1.214966	1.242920	
32	8	4	0.004683	0.004015	0.004905	0.003949	1.019653	1.075500	1.212463	0.968506	
32	8	4	0.003866	0.005379	0.005343	0.003814	1.063171	1.176880	1.298401	1.070312	
32	8	4	0.004705	0.004646	0.005410	0.005769	1.130310	1.148499	1.239563	1.345398	
32	8	4	0.004277	0.005340	0.005335	0.004092	1.114441	1.206604	1.328247	1.168091	
32	8	4	0.004417	0.005693	0.005386	0.003976	1.190002	1.339233	1.339233	1.108948	
32	8	4	0.005650	0.004345	0.005365	0.003911	1.261230	1.152710	1.317078	1.172485	
32	8	4	0.004349	0.003985	0.005149	0.005460	1.090637	1.197937	1.256653	1.309448	
32	8	4	0.004167	0.004819	0.005277	0.003930	1.084900	1.214539	1.333191	1.105225	
32	8	4	0.004907	0.005168	0.005541	0.005772	1.279175	1.279175	1.376404	1.376404	
32	8	4	0.005074	0.005539	0.005519	0.005369	1.208923	1.316467	1.316467	1.287903	
32	8	4	0.004459	0.004158	0.005109	0.005242	1.227173	1.222046	1.338562	1.338562	
32	8	4	0.004583	0.004828	0.005655	0.005531	1.263123	1.235474	1.333008	1.362854	
32	8	4	0.005696	0.005359	0.005515	0.005784	1.393860	1.324280	1.354797	1.354797	
32	8	4	0.006577	0.005024	0.005750	0.005516	1.361328	1.218872	1.345764	1.345764	
32	8	4	0.005093	0.005367	0.005535	0.005204	1.253906	1.287720	1.250488	1.312012	
