N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	91	204950
10	200	1	78	212499
10	200	1	86	201602
10	200	1	70	198667
10	200	1	82	202118
10	200	500	853	290947
10	200	500	826	280390
10	200	500	822	284474
10	200	500	778	278147
10	200	500	793	307069
10	200	1000	1072	295193
10	200	1000	1138	297174
10	200	1000	1121	327892
10	200	1000	1159	298054
10	200	1000	1097	283754
10	200	1500	1341	285804
10	200	1500	1257	286940
10	200	1500	1272	291993
10	200	1500	1131	292975
10	200	1500	1286	310404
10	200	2000	1474	305215
10	200	2000	1346	301984
10	200	2000	1266	294804
10	200	2000	1316	298938
10	200	2000	1310	311622
10	200	2500	2183	329167
10	200	2500	1728	322921
10	200	2500	2005	310739
10	200	2500	1627	310085
10	200	2500	1657	293109
