N_THREADS_DPU	NUM_TXS_PER_DPU	N_DPUS	COMM_TIME	TOTAL_TIME
10	200	1	81	4.87078e+07
10	200	1	81	5.3756e+07
10	200	1	79	5.62601e+07
10	200	1	83	5.37237e+07
10	200	1	101	5.36436e+07
10	200	500	629	6.64933e+07
10	200	500	667	6.79115e+07
10	200	500	685	8.8708e+07
10	200	500	614	6.65143e+07
10	200	500	643	6.78147e+07
10	200	1000	845	6.88417e+07
10	200	1000	790	6.99023e+07
10	200	1000	850	7.97261e+07
10	200	1000	825	7.47492e+07
10	200	1000	877	6.84868e+07
10	200	1500	1038	7.73553e+07
10	200	1500	1173	7.25332e+07
10	200	1500	1153	6.84961e+07
10	200	1500	1153	6.97456e+07
10	200	1500	1135	8.17155e+07
10	200	2000	1403	7.38418e+07
10	200	2000	1290	7.37882e+07
10	200	2000	1317	7.79447e+07
10	200	2000	1349	7.28122e+07
10	200	2000	1321	7.61788e+07
10	200	2500	1843	8.27787e+07
10	200	2500	1845	6.99828e+07
10	200	2500	1687	6.9631e+07
10	200	2500	1746	7.51436e+07
10	200	2500	1770	7.31628e+07
