N_POINTS	N_THREADS	TIME	ENERGY
200000	4	0.310542	21.590637
200000	4	0.307603	21.529968
200000	4	0.306923	21.436951
100000000	4	160.145	11182.195435
100000000	4	157.252	10977.675781
100000000	4	160.668	11205.358276
200000000	4	316.439	22091.066223
200000000	4	303.227	21296.867004
200000000	4	297.693	20974.339539
300000000	4	463.995	32842.587952
300000000	4	486.252	33025.958252
300000000	4	455.33	31308.947571
400000000	4	637.475	44535.728210
400000000	4	629.583	44110.326782
400000000	4	650.51	45356.046448
500000000	4	771.599	53698.453186
500000000	4	811.015	56690.265747
500000000	4	777.178	54420.427002
